Symbol	Description
HPL.V	Horizon Petroleum Ltd
HPQ.V	Hpq Silicon Resources Inc
HPY.V	Happy Creek Minerals Ltd
HRC.V	Helio Res Corp
HRE.V	Stans Energy Corp
HRH.V	Hillcrest Petroleum Ltd
HRL.V	Hansa Resources Limited
HSI.V	H Source Holdings Ltd
HTC.V	Htc Purenergy Inc
HTL.V	Hamilton Thorne Ltd
HTR.V	Heatherdale Resources Ltd
HU.H.V	Huffington Capital Corporation
HUD.V	Hudson Resources Inc
HUT.V	Hut 8 Mining Corp
HVG.V	Harvest Gold Corp
HVT.V	Harvest One Cannabis Inc
HVT.WT.V	Harvest One Cannabis Inc Wts
HVT.WT.A.V	Harvest One Cannabis Inc Wts A
HWY.V	Highway 50 Gold Corp
HXC.V	Hfx Holding Corp
HZ.V	Hybrid Minerals Inc.
IB.V	Ibc Advanced Alloys Corp
IB.DB.V	Ibc Advanced Alloys Corp 8.25 Pct Debs
IBC.V	International Bethlehem Mining Corp
IBT.V	Ibex Technologies Inc
IC.V	International Corona Capital Corp
ICAU.V	Intercontinental Gold and Metals Ltd.
ICC.V	Icc Labs Inc.
ICI.P.V	Inceptus Capital Ltd
ICL.V	Itasca Capital Ltd
ICM.V	Iconic Minerals Ltd
ICO.V	Ico Therapeutics Inc
ID.V	Identillect Technologies Corp
IDI.V	Indico Resources Ltd
IDL.V	Imaging Dynamics Company Ltd
IDM.V	Idm Mining Ltd
IEI.V	Imperial Equities Inc
IES.V	Intercept Energy Services Inc
IFD.H.V	Intrinsic4D Inc
IFOS.V	Itafos
IFR.V	International Frontier Resources Corpora
IFX.V	Imaflex Inc
IGAM.V	Integrity Gaming Corp.
IGC.H.V	Igc Resources Inc
IGO.V	Independence Gold Corp
IGP.V	Imperial Ginseng Products Ltd
IGX.V	Intelgenx Technologies Corp
IGX.DB.V	Intelgenx Technologies Corp 8.0 Pct Debs
